,prices,market_caps,total_volumes
875,"[1443052800000, 209.1981]","[1443052800000, 3064616186.235]","[1443052800000, 111004776.74243796]"
876,"[1443139200000, 209.8351]","[1443139200000, 3074839621.36]","[1443139200000, 103084601.94819392]"
877,"[1443225600000, 209.4738]","[1443225600000, 3070309855.05]","[1443225600000, 83607555.32587741]"
878,"[1443312000000, 208.0422]","[1443312000000, 3050096292.09]","[1443312000000, 67707757.08971821]"
879,"[1443398400000, 212.9546]","[1443398400000, 3122856760.105]","[1443398400000, 218656818.8295691]"
880,"[1443484800000, 210.7515]","[1443484800000, 3091492678.35]","[1443484800000, 102308437.96436714]"
881,"[1443571200000, 211.3024]","[1443571200000, 3100345029.12]","[1443571200000, 68083622.44664502]"
882,"[1443657600000, 212.4229]","[1443657600000, 3117592828.415]","[1443657600000, 64652782.368475355]"
883,"[1443744000000, 211.627]","[1443744000000, 3106642034.6]","[1443744000000, 75325331.50385201]"
884,"[1443830400000, 213.1663]","[1443830400000, 3129995391.105]","[1443830400000, 65431974.13553318]"
885,"[1443916800000, 212.8466]","[1443916800000, 3126125904.685]","[1443916800000, 70366814.055684]"
886,"[1444003200000, 214.7685]","[1444003200000, 3155164033.5]","[1444003200000, 96010135.53835264]"
887,"[1444089600000, 218.605]","[1444089600000, 3212318498.125]","[1444089600000, 120438968.21962133]"
888,"[1444176000000, 216.3529]","[1444176000000, 3179516809.5775]","[1444176000000, 108155068.26582614]"
889,"[1444262400000, 215.1854]","[1444262400000, 3162359258.765]","[1444262400000, 86431978.73683338]"
890,"[1444348800000, 214.9889]","[1444348800000, 3159471499.6775]","[1444348800000, 96095017.84213452]"
891,"[1444435200000, 215.9712]","[1444435200000, 3176131859.28]","[1444435200000, 78497539.75798777]"
892,"[1444521600000, 217.88]","[1444521600000, 3204203197.0]","[1444521600000, 69770606.62458803]"
893,"[1444608000000, 216.2534]","[1444608000000, 3180281970.085]","[1444608000000, 95218714.3137651]"
894,"[1444694400000, 219.0913999999999]","[1444694400000, 3222018378.5349984]","[1444694400000, 144467081.64410755]"
895,"[1444780800000, 220.232]","[1444780800000, 3242343596.8]","[1444780800000, 280515407.54490507]"
896,"[1444867200000, 223.8046795001484]","[1444867200000, 3295988300.349648]","[1444867200000, 182202323.89659563]"
897,"[1444953600000, 231.1568000000001]","[1444953600000, 3405095694.8400016]","[1444953600000, 292850143.86295027]"
898,"[1445040000000, 237.8483]","[1445040000000, 3504462798.4075]","[1445040000000, 238929033.4621367]"
899,"[1445126400000, 230.9337]","[1445126400000, 3403466230.545]","[1445126400000, 102781413.64413865]"
900,"[1445212800000, 233.1793]","[1445212800000, 3437511752.1525]","[1445212800000, 198323883.30530295]"
901,"[1445299200000, 238.1054999999999]","[1445299200000, 3510865597.4999986]","[1445299200000, 281055271.39154506]"
902,"[1445385600000, 235.4589]","[1445385600000, 3472712678.43]","[1445385600000, 177799507.74309367]"
903,"[1445472000000, 246.3539]","[1445472000000, 3634323592.055]","[1445472000000, 206247133.95466867]"
904,"[1445558400000, 251.7616]","[1445558400000, 3715038227.88]","[1445558400000, 118509948.35479772]"
905,"[1445644800000, 256.8154]","[1445644800000, 3790543940.92]","[1445644800000, 152505716.04253152]"
906,"[1445731200000, 258.4843]","[1445731200000, 3816191122.0175]","[1445731200000, 305788971.713245]"
907,"[1445817600000, 258.2380000000001]","[1445817600000, 3813103572.3000016]","[1445817600000, 200414034.06104672]"
908,"[1445904000000, 266.97]","[1445904000000, 3943507309.5]","[1445904000000, 298291912.1157763]"
909,"[1445990400000, 277.8959]","[1445990400000, 4105863290.7175]","[1445990400000, 354383997.9723624]"
910,"[1446076800000, 285.591]","[1446076800000, 4220656571.925]","[1446076800000, 494167169.1035752]"
911,"[1446163200000, 296.025]","[1446163200000, 4376100571.875]","[1446163200000, 766266291.4596939]"
912,"[1446249600000, 283.6287]","[1446249600000, 4193882863.2675]","[1446249600000, 292456216.144666]"
913,"[1446336000000, 295.0541000000001]","[1446336000000, 4363931278.8775015]","[1446336000000, 528772857.1225229]"
914,"[1446422400000, 318.4768000000001]","[1446422400000, 4711513931.520001]","[1446422400000, 578077767.4717416]"
915,"[1446508800000, 362.5289999999999]","[1446508800000, 5364740394.899999]","[1446508800000, 898759143.7402993]"
916,"[1446595200000, 371.0185000000001]","[1446595200000, 5491806561.537501]","[1446595200000, 903257276.743671]"
917,"[1446681600000, 354.9556999999999]","[1446681600000, 5255349859.704999]","[1446681600000, 836842733.8490545]"
918,"[1446768000000, 346.9636]","[1446768000000, 5138253345.12]","[1446768000000, 716812222.493431]"
919,"[1446854400000, 360.3513]","[1446854400000, 5337856780.5525]","[1446854400000, 430810911.34098274]"
920,"[1446940800000, 346.0835]","[1446940800000, 5127780786.1]","[1446940800000, 246083597.288256]"
921,"[1447027200000, 354.002]","[1447027200000, 5246433540.7]","[1447027200000, 390731152.14272267]"
922,"[1447113600000, 314.1469]","[1447113600000, 4656890084.5825]","[1447113600000, 578615012.639911]"
923,"[1447200000000, 284.6294]","[1447200000000, 4220527437.61]","[1447200000000, 532739798.1664581]"
924,"[1447286400000, 312.6611]","[1447286400000, 4637420701.31]","[1447286400000, 505989163.9136725]"
925,"[1447372800000, 313.2047]","[1447372800000, 4646736249.67]","[1447372800000, 385195787.95336044]"
926,"[1447459200000, 307.7649]","[1447459200000, 4567154174.775]","[1447459200000, 121745667.04981953]"
927,"[1447545600000, 298.4861999999999]","[1447545600000, 4430632144.784999]","[1447545600000, 221477701.68778312]"
928,"[1447632000000, 310.0705]","[1447632000000, 4603500437.0625]","[1447632000000, 224063694.70608872]"
929,"[1447718400000, 314.8306999999999]","[1447718400000, 4675771107.189999]","[1447718400000, 222305754.81654063]"
930,"[1447804800000, 314.6478999999999]","[1447804800000, 4674283343.239999]","[1447804800000, 174450031.7308857]"
931,"[1447891200000, 303.3226]","[1447891200000, 4506994682.75]","[1447891200000, 192289561.97180542]"
932,"[1447977600000, 301.8813]","[1447977600000, 4486907044.095]","[1447977600000, 116050919.7069691]"
933,"[1448064000000, 305.3667]","[1448064000000, 4540054680.585]","[1448064000000, 187778673.68669155]"
934,"[1448150400000, 303.8134000000001]","[1448150400000, 4518236931.450002]","[1448150400000, 156937929.00138423]"
935,"[1448236800000, 303.5474]","[1448236800000, 4515571122.4]","[1448236800000, 177466641.04037103]"
936,"[1448323200000, 300.5307]","[1448323200000, 4471799143.5225]","[1448323200000, 97491195.73041593]"
937,"[1448409600000, 309.0213]","[1448409600000, 4599326244.0825]","[1448409600000, 672900690.8177485]"
938,"[1448496000000, 336.2552000000001]","[1448496000000, 5006116979.320002]","[1448496000000, 1168108729.4896088]"
939,"[1448582400000, 339.7955999999999]","[1448582400000, 5059887784.709998]","[1448582400000, 847770023.6166203]"
940,"[1448668800000, 336.2341999999999]","[1448668800000, 5008233626.564999]","[1448668800000, 630331161.5735611]"
941,"[1448755200000, 350.7679000000001]","[1448755200000, 5225985711.730001]","[1448755200000, 870506232.9984162]"
942,"[1448841600000, 357.8678]","[1448841600000, 5333241196.535]","[1448841600000, 1228979519.7212186]"
943,"[1448928000000, 341.9388000000001]","[1448928000000, 5097298788.540002]","[1448928000000, 492113501.64684206]"
944,"[1449014400000, 338.1835]","[1449014400000, 5042662623.0875]","[1449014400000, 1087318454.5677714]"
945,"[1449100800000, 330.2558999999999]","[1449100800000, 4925618133.344998]","[1449100800000, 1052025981.8423153]"
946,"[1449187200000, 333.3923]","[1449187200000, 4973671353.5125]","[1449187200000, 955706951.073164]"
947,"[1449273600000, 359.0129000000001]","[1449273600000, 5357468728.797502]","[1449273600000, 1310835907.1599798]"
948,"[1449360000000, 362.2980000000001]","[1449360000000, 5407913556.600001]","[1449360000000, 1390878923.3095922]"
949,"[1449446400000, 364.0042999999998]","[1449446400000, 5434720700.612497]","[1449446400000, 1183576849.8598483]"
950,"[1449532800000, 379.0008000000001]","[1449532800000, 5660291672.820002]","[1449532800000, 876036767.5467045]"
951,"[1449619200000, 378.6865]","[1449619200000, 5657207090.6625]","[1449619200000, 1387266456.7082987]"
952,"[1449705600000, 381.0527]","[1449705600000, 5694546811.975]","[1449705600000, 1166105782.0522358]"
953,"[1449792000000, 411.7621999999999]","[1449792000000, 6155124306.149999]","[1449792000000, 1477599308.399538]"
954,"[1449878400000, 395.6172999999999]","[1449878400000, 5915200636.572498]","[1449878400000, 1587746508.0578911]"
955,"[1449964800000, 396.4522]","[1449964800000, 5929289546.675]","[1449964800000, 1350278646.7213602]"
956,"[1450051200000, 403.0260999999999]","[1450051200000, 6029592876.879998]","[1450051200000, 1361210884.7388124]"
957,"[1450137600000, 425.4676000000001]","[1450137600000, 6367303457.730001]","[1450137600000, 1423033702.7976644]"
958,"[1450224000000, 416.2083]","[1450224000000, 6230378120.8125]","[1450224000000, 822200482.0762054]"
959,"[1450310400000, 421.2681000000002]","[1450310400000, 6307836831.945003]","[1450310400000, 1202151874.9068656]"
960,"[1450396800000, 426.7863]","[1450396800000, 6392287835.1675]","[1450396800000, 1044593583.3740457]"
961,"[1450483200000, 425.0845]","[1450483200000, 6368382182.525]","[1450483200000, 512380701.99290687]"
962,"[1450569600000, 406.0080999999999]","[1450569600000, 6084244532.752499]","[1450569600000, 1082176064.3084965]"
963,"[1450656000000, 401.1748999999999]","[1450656000000, 6013381075.432499]","[1450656000000, 1298321333.1051192]"
964,"[1450742400000, 398.3913]","[1450742400000, 5973090720.6825]","[1450742400000, 1183933297.8864963]"
965,"[1450828800000, 405.9181]","[1450828800000, 6087513153.89]","[1450828800000, 876284236.0591813]"
966,"[1450915200000, 414.8428999999999]","[1450915200000, 6222840550.377499]","[1450915200000, 1293727674.3822198]"
967,"[1451001600000, 415.3600999999999]","[1451001600000, 6232291388.454999]","[1451001600000, 964926604.5647392]"
968,"[1451088000000, 380.1346999999998]","[1451088000000, 5705327671.889997]","[1451088000000, 1572216151.6823432]"
969,"[1451174400000, 386.4047]","[1451174400000, 5801441525.33]","[1451174400000, 1256720425.4406533]"
970,"[1451260800000, 383.4816999999999]","[1451260800000, 5759003539.047499]","[1451260800000, 1194934224.4952147]"
971,"[1451347200000, 395.4327999999999]","[1451347200000, 5940082777.579999]","[1451347200000, 1076287137.1694515]"
972,"[1451433600000, 390.4924]","[1451433600000, 5867489990.85]","[1451433600000, 1123183982.40509]"
973,"[1451520000000, 397.2716000000001]","[1451520000000, 5970723989.670001]","[1451520000000, 1207125811.0675442]"
974,"[1451606400000, 400.0261000000001]","[1451606400000, 6013482354.122501]","[1451606400000, 1232767637.4464686]"
975,"[1451692800000, 399.9543]","[1451692800000, 6013862837.6625]","[1451692800000, 708943153.3557805]"
976,"[1451779200000, 396.0832]","[1451779200000, 5957111132.16]","[1451779200000, 906139805.8879755]"
977,"[1451865600000, 400.2754]","[1451865600000, 6021973275.955]","[1451865600000, 943558143.7532465]"
978,"[1451952000000, 401.879]","[1451952000000, 6047625896.625]","[1451952000000, 705155835.1678381]"
979,"[1452038400000, 400.0024999999999]","[1452038400000, 6020767629.562498]","[1452038400000, 772792953.7936141]"
980,"[1452124800000, 417.8042]","[1452124800000, 6288715702.665]","[1452124800000, 1499322546.1361806]"
981,"[1452211200000, 416.2324]","[1452211200000, 6268397509.14]","[1452211200000, 1374706422.891601]"
982,"[1452297600000, 410.7807000000001]","[1452297600000, 6187897769.625002]","[1452297600000, 993794433.2926127]"
983,"[1452384000000, 409.0892999999999]","[1452384000000, 6164239390.259998]","[1452384000000, 1245085774.4467936]"
984,"[1452470400000, 412.7939999999999]","[1452470400000, 6221796285.599998]","[1452470400000, 1088933211.258774]"
985,"[1452556800000, 410.5993]","[1452556800000, 6190441406.38]","[1452556800000, 818439655.4645629]"
986,"[1452643200000, 397.2488]","[1452643200000, 5990631078.64]","[1452643200000, 1456623649.087854]"
987,"[1452729600000, 395.013]","[1452729600000, 5958267463.425]","[1452729600000, 1165314834.4392695]"
988,"[1452816000000, 335.2770999999999]","[1452816000000, 5057311394.472499]","[1452816000000, 1444727171.4299426]"
989,"[1452902400000, 351.8625]","[1452902400000, 5309675497.5]","[1452902400000, 1564111017.5535004]"
990,"[1452988800000, 353.8125]","[1452988800000, 5339101387.5]","[1452988800000, 1351935442.460761]"
991,"[1453075200000, 353.4436999999998]","[1453075200000, 5336372507.432497]","[1453075200000, 1245986099.5839684]"
992,"[1453161600000, 347.4078]","[1453161600000, 5246448373.26]","[1453161600000, 1060613488.566371]"
993,"[1453248000000, 384.5954]","[1453248000000, 5809525044.47]","[1453248000000, 1537336929.918251]"
994,"[1453334400000, 375.2179000000001]","[1453334400000, 5669139109.757502]","[1453334400000, 1366046048.2445946]"
995,"[1453420800000, 349.7053000000001]","[1453420800000, 5285209853.122501]","[1453420800000, 1508229884.607595]"
996,"[1453507200000, 360.8617]","[1453507200000, 5454262207.735]","[1453507200000, 699585754.8752089]"
997,"[1453593600000, 373.3592]","[1453593600000, 5645863150.56]","[1453593600000, 1350839370.221308]"
998,"[1453680000000, 361.7161999999999]","[1453680000000, 5471201683.4349985]","[1453680000000, 1228250973.8772357]"
999,"[1453766400000, 361.1909999999999]","[1453766400000, 5464431549.674998]","[1453766400000, 1133257062.7708848]"
1000,"[1453852800000, 361.9085000000001]","[1453852800000, 5475286553.362501]","[1453852800000, 939113315.1014844]"
1001,"[1453939200000, 347.1125000000001]","[1453939200000, 5254484891.250002]","[1453939200000, 1046972568.5476532]"
1002,"[1454025600000, 349.7040000000001]","[1454025600000, 5295139284.600001]","[1454025600000, 1271984118.8001034]"
1003,"[1454112000000, 348.01]","[1454112000000, 5271150865.5]","[1454112000000, 855681493.9717747]"
1004,"[1454198400000, 336.4141999999999]","[1454198400000, 5097053595.974998]","[1454198400000, 734234270.5782768]"
1005,"[1454284800000, 340.6754]","[1454284800000, 5162978271.425]","[1454284800000, 944232598.9313269]"
1006,"[1454371200000, 341.5556999999999]","[1454371200000, 5177847789.719998]","[1454371200000, 613270135.6873546]"
1007,"[1454457600000, 331.4496]","[1454457600000, 5026143165.6]","[1454457600000, 631623517.7807462]"
1008,"[1454544000000, 346.8504]","[1454544000000, 5261148264.84]","[1454544000000, 954247541.7830253]"
1009,"[1454630400000, 345.5643000000001]","[1454630400000, 5243255763.007502]","[1454630400000, 984734941.4080722]"
1010,"[1454716800000, 335.958]","[1454716800000, 5099120130.3]","[1454716800000, 877814578.2536554]"
1011,"[1454803200000, 336.5934999999999]","[1454803200000, 5110288739.562498]","[1454803200000, 493961743.4452218]"
1012,"[1454889600000, 331.4102999999999]","[1454889600000, 5032838242.087499]","[1454889600000, 484215250.3685877]"
1013,"[1454976000000, 331.1143999999998]","[1454976000000, 5029826404.639997]","[1454976000000, 412204044.9951375]"
1014,"[1455062400000, 336.699]","[1455062400000, 5116023460.35]","[1455062400000, 721649973.5396857]"
1015,"[1455148800000, 333.0493000000001]","[1455148800000, 5062099573.025002]","[1455148800000, 445156885.0847185]"
1016,"[1455235200000, 340.067]","[1455235200000, 5170268146.225]","[1455235200000, 584809364.0245401]"
1017,"[1455321600000, 346.8639999999999]","[1455321600000, 5274968966.399999]","[1455321600000, 657590257.7155759]"
1018,"[1455408000000, 359.1947]","[1455408000000, 5463935078.3875]","[1455408000000, 1172312896.6114695]"
1019,"[1455494400000, 357.9042999999999]","[1455494400000, 5445666033.827498]","[1455494400000, 1244033851.2395797]"
1020,"[1455580800000, 365.2721999999999]","[1455580800000, 5559031952.774999]","[1455580800000, 997778609.168627]"
1021,"[1455667200000, 374.6766]","[1455667200000, 5703589478.82]","[1455667200000, 1165030146.8157575]"
1022,"[1455753600000, 379.5151]","[1455753600000, 5778923867.0875]","[1455753600000, 1301509328.6372907]"
1023,"[1455840000000, 376.7422999999999]","[1455840000000, 5737983018.707499]","[1455840000000, 540708305.0996574]"
1024,"[1455926400000, 396.3079000000001]","[1455926400000, 6037522979.457501]","[1455926400000, 1244522377.7237217]"
1025,"[1456012800000, 394.3989999999999]","[1456012800000, 6009743502.274999]","[1456012800000, 1354891356.9252484]"
1026,"[1456099200000, 396.9266]","[1456099200000, 6049488848.445]","[1456099200000, 1057776157.6591175]"
1027,"[1456185600000, 381.5043]","[1456185600000, 5815737387.6675]","[1456185600000, 1329843727.1989942]"
1028,"[1456272000000, 384.1125]","[1456272000000, 5856640110.0]","[1456272000000, 1322840234.1049557]"
1029,"[1456358400000, 383.8394]","[1456358400000, 5853982669.325]","[1456358400000, 1284831720.009832]"
1030,"[1456444800000, 390.586]","[1456444800000, 5958233195.6]","[1456444800000, 53347751.30788379]"
1031,"[1456531200000, 395.2814000000001]","[1456531200000, 6031282657.480001]","[1456531200000, 544389594.9584353]"
1032,"[1456617600000, 395.8996000000001]","[1456617600000, 6042051437.870002]","[1456617600000, 499565262.08532417]"
1033,"[1456704000000, 401.7195000000001]","[1456704000000, 6132218038.537501]","[1456704000000, 1698406419.9470782]"
1034,"[1456790400000, 397.1040999999999]","[1456790400000, 6062905977.979999]","[1456790400000, 2315931512.6488237]"
1035,"[1456876800000, 390.5504]","[1456876800000, 5964602873.92]","[1456876800000, 1888332578.812066]"
1036,"[1456963200000, 383.4209]","[1456963200000, 5857022642.13]","[1456963200000, 2498382431.3558636]"
1037,"[1457049600000, 371.8567]","[1457049600000, 5681765854.815]","[1457049600000, 2187930237.112706]"
1038,"[1457136000000, 360.9419]","[1457136000000, 5516401387.365]","[1457136000000, 2513480764.318796]"
1039,"[1457222400000, 367.9152]","[1457222400000, 5624301266.64]","[1457222400000, 2291351288.2287207]"
1040,"[1457308800000, 375.6324999999999]","[1457308800000, 5743580568.812498]","[1457308800000, 2143613215.6685658]"
1041,"[1457395200000, 374.1256]","[1457395200000, 5721951751.52]","[1457395200000, 1676045513.4058728]"
1042,"[1457481600000, 374.6807000000001]","[1457481600000, 5731996486.845001]","[1457481600000, 1549551572.461627]"
1043,"[1457568000000, 372.3310999999999]","[1457568000000, 5697550116.362498]","[1457568000000, 1937458471.0608141]"
1044,"[1457654400000, 375.9791000000001]","[1457654400000, 5754848898.330002]","[1457654400000, 2188247533.357369]"
1045,"[1457740800000, 368.4187000000001]","[1457740800000, 5640462665.597502]","[1457740800000, 2055551057.296937]"
1046,"[1457827200000, 370.016]","[1457827200000, 5666101260.0]","[1457827200000, 1655582195.6616993]"
1047,"[1457913600000, 373.39]","[1457913600000, 5719195960.5]","[1457913600000, 1624635380.2781448]"
1048,"[1458000000000, 374.1462]","[1458000000000, 5732247161.925]","[1458000000000, 1900368393.9636023]"
1049,"[1458086400000, 371.4848000000001]","[1458086400000, 5692967411.520001]","[1458086400000, 1690584008.8725839]"
1050,"[1458172800000, 369.8212]","[1458172800000, 5668776527.61]","[1458172800000, 1540780702.7380822]"
1051,"[1458259200000, 362.2599]","[1458259200000, 5554096334.82]","[1458259200000, 2163878518.0582156]"
1052,"[1458345600000, 360.9124999999999]","[1458345600000, 5534647324.374998]","[1458345600000, 1565995636.6367161]"
1053,"[1458432000000, 365.3427]","[1458432000000, 5603946007.4625]","[1458432000000, 1277584269.8809886]"
1054,"[1458518400000, 365.6872]","[1458518400000, 5610501012.92]","[1458518400000, 2001899717.818631]"
1055,"[1458604800000, 371.2017]","[1458604800000, 5696479848.285]","[1458604800000, 1819671503.52202]"
1056,"[1458691200000, 373.933]","[1458691200000, 5739796763.4]","[1458691200000, 1775641797.111603]"
1057,"[1458777600000, 371.1693]","[1458777600000, 5698701451.3875]","[1458777600000, 1808354971.9705632]"
1058,"[1458864000000, 372.3078]","[1458864000000, 5717502961.515]","[1458864000000, 1731792165.061621]"
1059,"[1458950400000, 373.1580000000001]","[1458950400000, 5732070709.050001]","[1458950400000, 1436534619.1030884]"
1060,"[1459036800000, 381.0561000000001]","[1459036800000, 5854726922.047502]","[1459036800000, 2084043957.313855]"
1061,"[1459123200000, 377.5452000000001]","[1459123200000, 5802293967.570002]","[1459123200000, 1924711888.967596]"
1062,"[1459209600000, 368.0432]","[1459209600000, 5657771695.24]","[1459209600000, 2375285317.223054]"
1063,"[1459296000000, 364.0863000000001]","[1459296000000, 5598291072.532501]","[1459296000000, 2106599286.9646418]"
1064,"[1459382400000, 364.9301]","[1459382400000, 5612415103.1925]","[1459382400000, 1258386285.8683767]"
1065,"[1459468800000, 365.7336000000001]","[1459468800000, 5626143972.180001]","[1459468800000, 392573601.4703681]"
1066,"[1459555200000, 368.3456]","[1459555200000, 5667632452.16]","[1459555200000, 556204273.181111]"
1067,"[1459641600000, 367.0811]","[1459641600000, 5648928454.6525]","[1459641600000, 376993005.4525175]"
1068,"[1459728000000, 368.2425]","[1459728000000, 5668853929.875]","[1459728000000, 461458052.3494265]"
1069,"[1459814400000, 371.3027000000001]","[1459814400000, 5717383952.572501]","[1459814400000, 475763656.61458975]"
1070,"[1459900800000, 369.993]","[1459900800000, 5698669185.299999]","[1459900800000, 462549389.54612654]"
1071,"[1459987200000, 370.2353]","[1459987200000, 5703687681.7975]","[1459987200000, 522224747.27806175]"
1072,"[1460073600000, 367.1272000000001]","[1460073600000, 5657163984.780002]","[1460073600000, 638563492.7820475]"
1073,"[1460160000000, 365.0411]","[1460160000000, 5625474997.5775]","[1460160000000, 694099247.8418229]"
1074,"[1460246400000, 369.222]","[1460246400000, 5692498646.1]","[1460246400000, 425073488.57114965]"
1075,"[1460332800000, 370.4189999999999]","[1460332800000, 5712388827.074999]","[1460332800000, 622768334.767235]"
1076,"[1460419200000, 374.3317999999999]","[1460419200000, 5774105448.179998]","[1460419200000, 1038343098.1176133]"
1077,"[1460505600000, 376.16549999999995]","[1460505600000, 5803923328.4625]","[1460505600000, 696706745.2064528]"
1078,"[1460592000000, 377.23509999999993]","[1460592000000, 5821954176.197498]","[1460592000000, 547292143.4810909]"
1079,"[1460678400000, 381.0475000000001]","[1460678400000, 5882163574.187502]","[1460678400000, 745937775.1263055]"
1080,"[1460764800000, 381.8832]","[1460764800000, 5896372078.8]","[1460764800000, 659203724.7192332]"
1081,"[1460851200000, 379.0033000000001]","[1460851200000, 5853374340.612501]","[1460851200000, 468329606.49793386]"
1082,"[1460937600000, 378.8145000000001]","[1460937600000, 5851774870.200002]","[1460937600000, 485598535.3024126]"
1083,"[1461024000000, 384.2286]","[1461024000000, 5936831367.18]","[1461024000000, 593940694.3025843]"
1084,"[1461110400000, 391.0602999999999]","[1461110400000, 6044012913.634998]","[1461110400000, 974894030.8158251]"
1085,"[1461196800000, 399.5664999999999]","[1461196800000, 6176948469.312498]","[1461196800000, 1187229067.4051814]"
1086,"[1461283200000, 398.6589999999999]","[1461283200000, 6164404318.149999]","[1461283200000, 1108612938.643387]"
1087,"[1461369600000, 402.5201]","[1461369600000, 6225516748.635]","[1461369600000, 743960326.5040741]"
1088,"[1461456000000, 409.5600999999999]","[1461456000000, 6335761639.967499]","[1461456000000, 1433664885.4646606]"
1089,"[1461542400000, 408.8543999999999]","[1461542400000, 6325222880.639998]","[1461542400000, 1427148575.7682385]"
1090,"[1461628800000, 414.1030999999999]","[1461628800000, 6408887332.304998]","[1461628800000, 1131287491.0323615]"
1091,"[1461715200000, 392.6673]","[1461715200000, 6078460353.9525]","[1461715200000, 1186598678.9923365]"
1092,"[1461801600000, 395.8611000000002]","[1461801600000, 6129226273.102503]","[1461801600000, 1319010964.0564103]"
1093,"[1461888000000, 398.77389999999997]","[1461888000000, 6175901113.4275]","[1461888000000, 596800607.7522641]"
1094,"[1461974400000, 391.2074]","[1461974400000, 6060086251.365]","[1461974400000, 504694106.3590406]"
1095,"[1462060800000, 395.0476]","[1462060800000, 6121183552.48]","[1462060800000, 344434339.67266643]"
1096,"[1462147200000, 385.5996]","[1462147200000, 5976225040.59]","[1462147200000, 589731946.722191]"
1097,"[1462233600000, 391.5714000000002]","[1462233600000, 6070306260.645003]","[1462233600000, 400351376.9624687]"
1098,"[1462320000000, 389.1934000000001]","[1462320000000, 6035046916.770001]","[1462320000000, 374884661.432743]"
1099,"[1462406400000, 393.69789999999995]","[1462406400000, 6106431593.054998]","[1462406400000, 480518762.3964796]"
1100,"[1462492800000, 404.7641]","[1462492800000, 6279712629.45]","[1462492800000, 782138182.3684521]"
1101,"[1462579200000, 402.6843]","[1462579200000, 6248965705.5825]","[1462579200000, 366825592.5465318]"
1102,"[1462665600000, 402.8899000000001]","[1462665600000, 6253787967.017502]","[1462665600000, 562189625.0939146]"
1103,"[1462752000000, 405.66880000000003]","[1462752000000, 6298687615.240001]","[1462752000000, 784136751.8631907]"
1104,"[1462838400000, 395.9140000000001]","[1462838400000, 6148752274.850001]","[1462838400000, 985634276.6533961]"
1105,"[1462924800000, 395.8095000000001]","[1462924800000, 6148504773.000002]","[1462924800000, 588686757.6231883]"
1106,"[1463011200000, 399.7222]","[1463011200000, 6210703668.61]","[1463011200000, 612693045.6720573]"
1107,"[1463097600000, 403.2871]","[1463097600000, 6267605807.23]","[1463097600000, 433183898.9552106]"
1108,"[1463184000000, 402.85290000000003]","[1463184000000, 6262277831.2425]","[1463184000000, 478116823.91076416]"
1109,"[1463270400000, 405.0881000000001]","[1463270400000, 6298461686.837502]","[1463270400000, 455424310.16727185]"
1110,"[1463356800000, 402.0676000000001]","[1463356800000, 6252864849.990002]","[1463356800000, 574185986.0230081]"
1111,"[1463443200000, 399.98949999999996]","[1463443200000, 6222016667.775]","[1463443200000, 403337276.3427721]"
1112,"[1463529600000, 403.1942]","[1463529600000, 6273409436.205]","[1463529600000, 340446117.03003913]"
1113,"[1463616000000, 393.23790000000014]","[1463616000000, 6119656678.327502]","[1463616000000, 559612585.9584746]"
1114,"[1463702400000, 393.7549]","[1463702400000, 6129188773.4]","[1463702400000, 574052256.4021729]"
1115,"[1463788800000, 394.875]","[1463788800000, 6147976696.875]","[1463788800000, 340985657.77504283]"
1116,"[1463875200000, 391.0235]","[1463875200000, 6089780437.825]","[1463875200000, 329796723.80035007]"
1117,"[1463961600000, 395.04710000000006]","[1463961600000, 6154231371.172502]","[1463961600000, 337823030.72969323]"
1118,"[1464048000000, 399.9025]","[1464048000000, 6231170781.812499]","[1464048000000, 380299462.92426324]"
1119,"[1464134400000, 402.52840000000003]","[1464134400000, 6273676820.670001]","[1464134400000, 532391781.1734135]"
1120,"[1464220800000, 405.37690000000003]","[1464220800000, 6319450897.3675]","[1464220800000, 690531994.2383734]"
1121,"[1464307200000, 426.3226000000001]","[1464307200000, 6647435140.500002]","[1464307200000, 1448397569.1042638]"
1122,"[1464393600000, 475.69489999999985]","[1464393600000, 7418878198.5374975]","[1464393600000, 2077986823.3478286]"
1123,"[1464480000000, 470.4957000000001]","[1464480000000, 7338168521.797502]","[1464480000000, 2031989675.0700567]"
1124,"[1464566400000, 479.5691]","[1464566400000, 7482788602.665]","[1464566400000, 922145099.1825204]"
1125,"[1464652800000, 477.36609999999996]","[1464652800000, 7449954368.8875]","[1464652800000, 877545320.5930129]"
1126,"[1464739200000, 482.0590000000001]","[1464739200000, 7524832526.725001]","[1464739200000, 772670346.0909796]"
1127,"[1464825600000, 483.1766]","[1464825600000, 7544041605.8550005]","[1464825600000, 587885453.9793166]"
1128,"[1464912000000, 501.84480000000013]","[1464912000000, 7837247511.000002]","[1464912000000, 833600029.2152483]"
1129,"[1464998400000, 504.54230000000007]","[1464998400000, 7880887658.212501]","[1464998400000, 892703495.6902081]"
1130,"[1465084800000, 505.6410343699982]","[1465084800000, 7900173444.0744295]","[1465084800000, 863146142.1784917]"
1131,"[1465171200000, 515.6172]","[1465171200000, 8058246067.620001]","[1465171200000, 748723310.8327823]"
1132,"[1465257600000, 508.73689275917667]","[1465257600000, 7952524233.9221735]","[1465257600000, 876426676.8991351]"
1133,"[1465344000000, 511.5319000000002]","[1465344000000, 7998095387.342504]","[1465344000000, 549065977.3529369]"
1134,"[1465430400000, 510.38629999999995]","[1465430400000, 7982275856.452499]","[1465430400000, 504358090.7403528]"
