,prices,market_caps,total_volumes
2804,"[1609718400000, 26944.846107491692]","[1609718400000, 500899785176.27893]","[1609718400000, 146032480261.85092]"
2805,"[1609804800000, 25728.49681420476]","[1609804800000, 478171698148.08514]","[1609804800000, 60948168710.52461]"
2806,"[1609891200000, 27711.014779060108]","[1609891200000, 515199362652.24603]","[1609891200000, 54817181993.76377]"
2807,"[1609977600000, 29930.887785755196]","[1609977600000, 553364438271.5564]","[1609977600000, 57560368528.50383]"
2808,"[1610064000000, 32228.81707793265]","[1610064000000, 599263623840.409]","[1610064000000, 64089922827.12478]"
2809,"[1610150400000, 33401.61993597576]","[1610150400000, 621101653038.192]","[1610150400000, 67797159249.189224]"
2810,"[1610236800000, 32962.399539016464]","[1610236800000, 612963013407.6307]","[1610236800000, 45743815806.08853]"
2811,"[1610323200000, 31506.011226579463]","[1610323200000, 585911777228.7335]","[1610323200000, 60210239259.945496]"
2812,"[1610409600000, 29336.072696101375]","[1610409600000, 545585679385.7368]","[1610409600000, 91858720903.55923]"
2813,"[1610496000000, 27802.759888042554]","[1610496000000, 515872383578.39825]","[1610496000000, 56488192387.27896]"
2814,"[1610582400000, 30797.07867204945]","[1610582400000, 572814884322.5846]","[1610582400000, 53673653988.503]"
2815,"[1610668800000, 32288.59245921505]","[1610668800000, 600586159661.9167]","[1610668800000, 47338560443.09282]"
2816,"[1610755200000, 30465.107457821814]","[1610755200000, 566698219632.0453]","[1610755200000, 52545905548.424324]"
2817,"[1610841600000, 30013.42796807724]","[1610841600000, 558517334736.2053]","[1610841600000, 45576668114.18592]"
2818,"[1610928000000, 29660.28800715679]","[1610928000000, 556841929750.6201]","[1610928000000, 42040736688.807434]"
2819,"[1611014400000, 30302.801411274904]","[1611014400000, 565268783633.029]","[1611014400000, 38727001874.97061]"
2820,"[1611100800000, 29740.11793259074]","[1611100800000, 553318046588.3516]","[1611100800000, 42616538464.93441]"
2821,"[1611187200000, 29377.25881192296]","[1611187200000, 546758170957.1378]","[1611187200000, 48214310748.06892]"
2822,"[1611273600000, 25410.62510329595]","[1611273600000, 472810876563.259]","[1611273600000, 57058416538.28156]"
2823,"[1611360000000, 27071.26373707696]","[1611360000000, 503734116667.9894]","[1611360000000, 57127393238.932236]"
2824,"[1611446400000, 26340.3742203778]","[1611446400000, 490159278862.7693]","[1611446400000, 35792362185.45777]"
2825,"[1611532800000, 26523.183396434368]","[1611532800000, 493584321912.8315]","[1611532800000, 35182775426.49637]"
2826,"[1611619200000, 26664.313603871564]","[1611619200000, 496233701879.3729]","[1611619200000, 41518131666.10099]"
2827,"[1611705600000, 26786.79480225416]","[1611705600000, 498719920065.24084]","[1611705600000, 39864914786.40619]"
2828,"[1611792000000, 25154.306588437914]","[1611792000000, 468179651441.82245]","[1611792000000, 42561467867.55711]"
2829,"[1611878400000, 27330.224144153923]","[1611878400000, 508703611295.56934]","[1611878400000, 42136655852.827705]"
2830,"[1611964800000, 28136.142415243863]","[1611964800000, 523730544155.566]","[1611964800000, 80302263102.56956]"
2831,"[1612051200000, 28176.744975119404]","[1612051200000, 524510614893.2572]","[1612051200000, 42843465446.97747]"
2832,"[1612137600000, 27271.207894485506]","[1612137600000, 507273262734.37854]","[1612137600000, 35043830941.39445]"
2833,"[1612224000000, 27681.60666152396]","[1612224000000, 515339280924.17993]","[1612224000000, 40826246889.2035]"
2834,"[1612310400000, 29475.86644015628]","[1612310400000, 548770067891.4522]","[1612310400000, 42138647899.16033]"
2835,"[1612396800000, 31144.38727939557]","[1612396800000, 577964792539.3333]","[1612396800000, 41334123315.36294]"
2836,"[1612483200000, 30766.304042881016]","[1612483200000, 573659832123.0673]","[1612483200000, 45539461320.13437]"
2837,"[1612569600000, 31544.980436850477]","[1612569600000, 586217482424.2716]","[1612569600000, 39378495029.56373]"
2838,"[1612656000000, 32599.595195893216]","[1612656000000, 607892935150.1154]","[1612656000000, 47370433371.61962]"
2839,"[1612742400000, 32235.555753607303]","[1612742400000, 600523224688.9901]","[1612742400000, 44661504258.11542]"
2840,"[1612828800000, 38421.996247150084]","[1612828800000, 715555889308.4242]","[1612828800000, 72180239710.45926]"
2841,"[1612915200000, 38434.83981506046]","[1612915200000, 715584212243.9695]","[1612915200000, 65058759597.95928]"
2842,"[1613001600000, 37009.052137144594]","[1613001600000, 692832975712.112]","[1613001600000, 57764154097.11376]"
2843,"[1613088000000, 39412.402108929986]","[1613088000000, 734102771800.1244]","[1613088000000, 54554915422.50321]"
2844,"[1613174400000, 39120.11748179182]","[1613174400000, 726575664940.612]","[1613174400000, 51106762568.75342]"
2845,"[1613260800000, 38728.86609411659]","[1613260800000, 721443486417.7051]","[1613260800000, 45635425167.40473]"
2846,"[1613347200000, 40099.892421190445]","[1613347200000, 747020374615.7554]","[1613347200000, 47632255303.931984]"
2847,"[1613433600000, 39481.90858259856]","[1613433600000, 735544995750.6675]","[1613433600000, 50332249679.25021]"
2848,"[1613520000000, 40718.75750657568]","[1613520000000, 758617937508.8219]","[1613520000000, 53043177896.537315]"
2849,"[1613606400000, 43291.09005613213]","[1613606400000, 806579286404.6176]","[1613606400000, 56852898152.86854]"
2850,"[1613692800000, 42779.37349011407]","[1613692800000, 797082398617.2014]","[1613692800000, 48363956128.65087]"
2851,"[1613779200000, 46244.61515359069]","[1613779200000, 861692654707.5409]","[1613779200000, 58918854812.54609]"
2852,"[1613865600000, 46522.9359012382]","[1613865600000, 866920855730.4941]","[1613865600000, 63830850157.96154]"
2853,"[1613952000000, 47559.18258700685]","[1613952000000, 887032848171.3623]","[1613952000000, 50490097913.114426]"
2854,"[1614038400000, 44724.63565696625]","[1614038400000, 831881923226.9886]","[1614038400000, 83457291317.85167]"
2855,"[1614124800000, 40067.294267744]","[1614124800000, 743867947934.2726]","[1614124800000, 96020844432.34703]"
2856,"[1614211200000, 40960.3372001344]","[1614211200000, 763409548660.2349]","[1614211200000, 60098302549.3103]"
2857,"[1614297600000, 38648.27183141423]","[1614297600000, 720354974170.2382]","[1614297600000, 49638196933.20936]"
2858,"[1614384000000, 38561.29706326955]","[1614384000000, 719901595877.1304]","[1614384000000, 61594379376.643326]"
2859,"[1614470400000, 38645.72851409784]","[1614470400000, 720379566939.8922]","[1614470400000, 42237677154.101814]"
2860,"[1614556800000, 37203.27658845245]","[1614556800000, 693521829854.956]","[1614556800000, 49372207764.30667]"
2861,"[1614643200000, 41322.446632243096]","[1614643200000, 770342347668.7681]","[1614643200000, 52470084822.47395]"
2862,"[1614729600000, 40159.69796002174]","[1614729600000, 749099075902.5197]","[1614729600000, 44270064719.35437]"
2863,"[1614816000000, 41970.03402467931]","[1614816000000, 782492462108.6729]","[1614816000000, 49135346712.09821]"
2864,"[1614902400000, 40721.482241058366]","[1614902400000, 759246946199.2532]","[1614902400000, 50768369805.09877]"
2865,"[1614988800000, 41197.900141066006]","[1614988800000, 765141200325.3857]","[1614988800000, 47472016405.46222]"
2866,"[1615075200000, 41137.103142082]","[1615075200000, 769131788723.183]","[1615075200000, 34809039137.60082]"
2867,"[1615161600000, 43033.77643908508]","[1615161600000, 800788335843.6346]","[1615161600000, 38700661463.730255]"
2868,"[1615248000000, 44151.78354799639]","[1615248000000, 822057889896.9529]","[1615248000000, 45198370163.79586]"
2869,"[1615334400000, 45969.83629700157]","[1615334400000, 856422147116.0541]","[1615334400000, 48254011673.60926]"
2870,"[1615420800000, 46979.34120652177]","[1615420800000, 876184679721.6438]","[1615420800000, 53302508673.308556]"
2871,"[1615507200000, 48228.104397681615]","[1615507200000, 899515637849.869]","[1615507200000, 53916745779.55266]"
2872,"[1615593600000, 47981.15078408417]","[1615593600000, 894954596428.7042]","[1615593600000, 50182287602.90356]"
2873,"[1615680000000, 51295.129601791945]","[1615680000000, 958059086748.5513]","[1615680000000, 56329304892.0808]"
2874,"[1615766400000, 49729.09033783585]","[1615766400000, 930413341613.2347]","[1615766400000, 40252626918.549614]"
2875,"[1615852800000, 46797.45622313987]","[1615852800000, 879820002095.3202]","[1615852800000, 59199408711.75497]"
2876,"[1615939200000, 47746.846623517624]","[1615939200000, 890762449038.0872]","[1615939200000, 53115214077.764]"
2877,"[1616025600000, 49256.512604163196]","[1616025600000, 918967968479.6125]","[1616025600000, 52890008567.580086]"
2878,"[1616112000000, 48605.87962170269]","[1616112000000, 907237959920.5482]","[1616112000000, 48995748251.30877]"
2879,"[1616198400000, 48753.403312258655]","[1616198400000, 909672981232.695]","[1616198400000, 43484178180.325096]"
2880,"[1616284800000, 48864.63909083903]","[1616284800000, 912419534192.7384]","[1616284800000, 45661152968.37852]"
2881,"[1616371200000, 48446.46372599024]","[1616371200000, 904040081005.2135]","[1616371200000, 46839745949.751236]"
2882,"[1616457600000, 45572.396859377]","[1616457600000, 855499932608.0442]","[1616457600000, 51969094996.836205]"
2883,"[1616544000000, 46114.717337839604]","[1616544000000, 859204355653.1033]","[1616544000000, 51013448299.56094]"
2884,"[1616630400000, 44461.5763385364]","[1616630400000, 831892813280.0]","[1616630400000, 61815732500.25645]"
2885,"[1616716800000, 43661.54177461499]","[1616716800000, 814572196419.0581]","[1616716800000, 53838580860.63846]"
2886,"[1616803200000, 46661.08000365804]","[1616803200000, 870943616525.2384]","[1616803200000, 47008247941.95867]"
2887,"[1616889600000, 47338.79983985637]","[1616889600000, 883639908079.112]","[1616889600000, 40092310047.27717]"
2888,"[1616976000000, 47277.492042457925]","[1616976000000, 881658365165.4386]","[1616976000000, 41837590333.27714]"
2889,"[1617062400000, 48973.897419841785]","[1617062400000, 914256030003.9105]","[1617062400000, 48763259700.77129]"
2890,"[1617148800000, 50043.81195360208]","[1617148800000, 934275081626.9066]","[1617148800000, 44686102265.148]"
2891,"[1617235200000, 50151.45728919469]","[1617235200000, 936333625461.225]","[1617235200000, 49024636735.91986]"
2892,"[1617321600000, 49928.270945521384]","[1617321600000, 932805327683.9607]","[1617321600000, 46123853539.26627]"
2893,"[1617408000000, 50218.97701397946]","[1617408000000, 937999194181.1338]","[1617408000000, 44407057314.569]"
2894,"[1617494400000, 48523.656275506226]","[1617494400000, 907453790081.5127]","[1617494400000, 44278034420.36956]"
2895,"[1617580800000, 49486.91248560528]","[1617580800000, 924101283336.823]","[1617580800000, 39227252401.61363]"
2896,"[1617667200000, 49682.814847849586]","[1617667200000, 927733809261.0995]","[1617667200000, 46266656932.14634]"
2897,"[1617753600000, 48900.66366778089]","[1617753600000, 913245566844.2338]","[1617753600000, 51794104414.43398]"
2898,"[1617840000000, 47281.06548137643]","[1617840000000, 885037017103.1237]","[1617840000000, 56953166378.938385]"
2899,"[1617926400000, 48727.12069323635]","[1617926400000, 909183049454.8854]","[1617926400000, 40879775082.234886]"
2900,"[1618012800000, 48864.797178312525]","[1618012800000, 912371538925.4468]","[1618012800000, 38552785041.210945]"
2901,"[1618099200000, 50398.64448369228]","[1618099200000, 937922996206.573]","[1618099200000, 51918521475.447845]"
2902,"[1618185600000, 50399.53568851847]","[1618185600000, 941523655016.0809]","[1618185600000, 39313187125.11256]"
2903,"[1618272000000, 50284.5178056672]","[1618272000000, 938715315693.8813]","[1618272000000, 46997353166.314575]"
2904,"[1618358400000, 53178.647097858826]","[1618358400000, 993481464293.6089]","[1618358400000, 60218573240.23423]"
2905,"[1618444800000, 52411.35100225741]","[1618444800000, 979190788504.9747]","[1618444800000, 66889606595.508316]"
2906,"[1618531200000, 52786.19444052422]","[1618531200000, 985415205333.9467]","[1618531200000, 50543403396.23027]"
2907,"[1618617600000, 51323.24782597241]","[1618617600000, 959413720541.592]","[1618617600000, 71989793744.6893]"
2908,"[1618704000000, 50303.90611604677]","[1618704000000, 939407045975.3424]","[1618704000000, 53253631955.48141]"
2909,"[1618790400000, 47007.348565006636]","[1618790400000, 880126235684.532]","[1618790400000, 85236097754.68689]"
2910,"[1618876800000, 46274.2552812877]","[1618876800000, 866193606152.9485]","[1618876800000, 54940206467.00336]"
2911,"[1618963200000, 46775.796611886864]","[1618963200000, 876762630127.7645]","[1618963200000, 56640409462.2945]"
2912,"[1619049600000, 45015.6913673363]","[1619049600000, 841249278891.9404]","[1619049600000, 46615038126.60225]"
2913,"[1619136000000, 43252.75973491791]","[1619136000000, 808342695167.0507]","[1619136000000, 64836768079.33721]"
2914,"[1619222400000, 42311.972926691175]","[1619222400000, 790795964809.3336]","[1619222400000, 75330204913.11586]"
2915,"[1619308800000, 41442.08203123892]","[1619308800000, 774575016214.3984]","[1619308800000, 40750306972.48188]"
2916,"[1619395200000, 40507.65203218968]","[1619395200000, 757146469023.5076]","[1619395200000, 38235048391.544266]"
2917,"[1619481600000, 44682.359740713204]","[1619481600000, 834711777383.9949]","[1619481600000, 49854404608.39421]"
2918,"[1619568000000, 45484.93987625842]","[1619568000000, 850018784348.1655]","[1619568000000, 40089412295.186615]"
2919,"[1619654400000, 45166.2478587414]","[1619654400000, 844334721000.2095]","[1619654400000, 39614113929.41179]"
2920,"[1619740800000, 44204.7927866628]","[1619740800000, 826394765046.5188]","[1619740800000, 38729438785.54727]"
2921,"[1619827200000, 48112.22308787791]","[1619827200000, 900803905440.7534]","[1619827200000, 44826342548.85405]"
2922,"[1619913600000, 48097.49969239491]","[1619913600000, 899252786708.875]","[1619913600000, 36578403924.62257]"
2923,"[1620000000000, 47047.72809852492]","[1620000000000, 879424823846.13]","[1620000000000, 32478019170.18642]"
2924,"[1620086400000, 47437.639045229014]","[1620086400000, 887022181215.0237]","[1620086400000, 44893410910.047325]"
2925,"[1620172800000, 44498.3953336929]","[1620172800000, 832112739501.6178]","[1620172800000, 59340296609.89405]"
