date,remainder
1901-06-24,4.4981207351284525
1901-06-25,0.1625058681559821
1901-06-26,-1.2439684457074964
1901-06-27,-0.9470648566856834
1901-06-28,0.16940241988011806
1901-06-29,2.6868659286045684
1901-06-30,2.6852562393613937
1901-07-01,0.9046753671056038
1901-07-02,0.8506289209409346
1901-07-03,0.8999603776615501
1901-07-04,0.36385904057498664
1901-07-05,-0.6162957799739246
1901-07-06,2.7931377356386236
1901-07-07,2.3080463151042068
1901-07-08,-0.70545579460045
1901-07-09,2.392082883317954
1901-07-10,2.49292676517447
1901-07-11,4.4072024332476545
1901-07-12,5.812406371362954
1901-07-13,6.531675007087276
1901-07-14,5.217891603430488
1901-07-15,5.224150393866466
1901-07-16,2.0202122785359755
1901-07-17,4.161351519042277
1901-07-18,1.272111012713168
